127.0.0.1 - - [05/May/2023:21:59:58 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:18 +0100] "GET /myLibraryApp/registration.jsp HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:18 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:20 +0100] "GET /myLibraryApp/login.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:20 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:20 +0100] "GET /myLibraryApp/images/signin-image.jpg HTTP/1.1" 200 21118
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:49 +0100] "GET /myLibraryApp/registration.jsp HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:50 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:53 +0100] "GET /myLibraryApp/login.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:53 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:54 +0100] "GET /myLibraryApp/registration.jsp HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [05/May/2023:22:00:54 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:09:34 +0100] "GET /myLibraryApp/login.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [05/May/2023:22:09:34 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:09:37 +0100] "GET /myLibraryApp/registration.jsp HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [05/May/2023:22:09:37 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:11:00 +0100] "GET /myLibraryApp/login.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [05/May/2023:22:11:00 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:19:10 +0100] "GET /myLibraryApp/login.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [05/May/2023:22:19:11 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:19:12 +0100] "GET /myLibraryApp/registration.jsp HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [05/May/2023:22:19:13 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:19:14 +0100] "GET /myLibraryApp/login.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [05/May/2023:22:19:14 +0100] "GET /myLibraryApp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:11 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:13 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:13 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:14 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:14 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:14 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:19 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:19 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:20 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:20 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:20 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/ HTTP/1.1" 200 42112
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/aos/aos.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/remixicon/remixicon.css HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 404 822
